,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Insurance Predictive Modeling Supervisor (Hybrid),Employer Provided Salary:$73K - $162K,"The Predictive Modeling Supervisor is responsible for updating line of business pricing models, support of ongoing initiatives, and identifying new opportunities for application of advanced predictive modeling techniques to drive significant business value. The Predictive Modeling Supervisor is responsible for the leadership and development towards the growth of team members within the analytics modeling team. They will provide technical leadership with expert level knowledge. The Predictive Modeling Supervisor will collaborate with key stakeholders and business leaders across the organization to solve complex business problems and create model-driven solutions for pricing, growth, and profitability.
Duties & Responsibilities:
Lead and develop a wide range of data-driven predictive models to create re-usable processes and methodologies for delivering results and pricing models",3.7,"NYCM Insurance
3.7","Edmeston, NY",501 to 1000 Employees,1958,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
11,"Director, Data Science",Employer Provided Salary:$97K - $176K,"Company Description

At Adtalem Global Education, we seek to empower students and members to achieve their goals, find success and make inspiring contributions to our global community. Adtalem is a leading healthcare educator that partners with organizations to proactively address future workforce needs and empowers career development with access to world-class academic curriculums, certifications and training programs across the medical and healthcare industries.

Adtalem institutions and companies include: American University of the Caribbean School of Medicine, Chamberlain University, Ross University School of Medicine, Ross University School of Veterinary Medicine, and Walden University. (NYSE: ATGE; member S&P MidCap 400 Index) For more information, please visit adtalem.com.",3.2,"Adtalem Global Education
3.2",Remote,10000+ Employees,1931,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable
12,"PhD Director, Data Science R&D (Decision Sciences Identity Team - Chicago or Remote)",$89K - $129K (Glassdoor est.),"Job Description

In this role, you will assume leadership of a research team of PhD Data Scientists who are driving R&D efforts to advance Epsilon's householding identity match capabilities. The team leverages data science, machine learning and other disciplines to create new data-driven capabilities for our real-time digital marketing business. You will individually contribute to Identity-related R&D projects, contribute to our strategic vision, and create opportunities that directly impact the success of the business, as well as support, mentor, and directly manage those within your team.

We prioritize analytical thinking, creativity, and computer science skills over ad tech industry experience. If using internet-scale data to drive business impact excites you, and you enjoy the kind of problem-solving that starts with a blank sheet of paper and results in a new technological reality, we want to talk to you.









For decades, we've been helping marketers from the world's top brands personalize experiences for millions of people with our cutting-edge technology, solutions and services. Epsilon's best-in-class identity gives brands a clear, privacy-safe view of their customers, which they can use across our suite of digital media, messaging and loyalty solutions. We process 400+ billion consumer actions each day and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon has been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Positioned at the core of Publicis Groupe, Epsilon is a global company with more than 8,000 employees around the world. Check out a few of these resources to learn more about what makes Epsilon so EPIC:



We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.

Epsilon is an Equal Opportunity Employer. Epsilon's policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.

Epsilon will provide accommodations to applicants needing accommodations to complete the application process.

For San Francisco Bay and Los Angeles Areas: Epsilon will consider for employment qualified applicants with criminal histories in a manner consistent with the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance and San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance.

Applicants with criminal histories are welcome to apply.

#LI-EB1

REF186864J",3.9,"Epsilon
3.9","Chicago, IL",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD)
13,Senior Data Analyst,Employer Provided Salary:$115K,"Senior Data Analyst (ETL/Power BI/SSIS/SSRS)
Local Candidates Only!
Our client is expanding again and seeking a talented Senior Data Analyst. This is a FULL TIME/DIRECT HIRE position. You MUST have a Green Card or be a US Citizen. We are unable to sponsor. Qualified candidates will have similar experience with the following:
Strong Data Analyst with Healthcare/Clinical experience
SQL
Must have SSIS and SSRS
Power BI",4.5,"Liberty Personnel Services
4.5","Philadelphia, PA",1 to 50 Employees,2003,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
14,Machine Learning Operations Engineer,$84K - $120K (Glassdoor est.),"At VyStar, we offer competitive pay, an excellent benefit package that includes a 401(k) Plan, an extensive paid technical and on-the-job training program, and tuition reimbursement-available to all full and part time employees. Part time positions start at a minimum of 30 hours per week.
We encourage you to become a part of VyStar Credit Union's family of employees.
Machine Learning Operations Engineer
ACCOUNTABILITY STATEMENT
As an ML Ops Engineer with the Advanced Analytics Group (AAG), you will be joining an enthusiastic, talented, and passionate team working to create and progress the advanced analytics function at VyStar where you will work to ensure the smooth productionization and deployment of data science assets. In this role you own the end-to-end Machine Learning Pipeline together with CI/CD for our ML Engineering process. You focus on code, versioning of datasets, models, and production endpoints to allow DS teams to collaborate, experiment and scale fast. This position will support VyStar’s mission to deliver remarkable service and value to the membership and will be critical to how AAG deliver solutions involving predictive and prescriptive analytics",3.6,"VyStar Credit Union
3.6","Jacksonville, FL",1001 to 5000 Employees,1952,Nonprofit Organization,Banking & Lending,Financial Services,$10+ billion (USD)
15,Data Scientist (V),Employer Provided Salary:$140K - $180K,"DCI Job Requirement for:
Data Scientist
Location: APG, MD
Job Description
Serve as a Data Scientist for C5ISR Sustainment
Develop and implement natural language processing models for cyber defense
Manage large technical projects, including:
Scoping work
Interfacing with other teams",3.7,"DCI Solutions
3.7","Aberdeen, MD",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
16,Senior Data Scientist,$113K - $144K (Glassdoor est.),"About Blue Cross
Blue Cross and Blue Shield of Minnesota is one of the most recognized and trusted health care brands in the world with 2.5 million members. We’re committed to reinventing health care to improve health for our members and the community. We hope you'll join us.
How is this Role Important to Our Work?
This position works across the Enterprise to identify areas of opportunities to build process efficiencies, innovate and contribute using advanced analytics and data science. The position will manage sophisticated data and information to provide meaningful results, which influence strategic decision-making at Blue Cross. Responsibilities include understanding sophisticated business requirements, data management and stewardship for a variety of sophisticated data sources, data analysis and the application of sophisticated analytical techniques, and building predictive models to create value for the organization.
A Day in the Life:
Teleworker",3.8,"Blue Cross and Blue Shield of Minnesota
3.8","Eagan, MN",1001 to 5000 Employees,1933,Nonprofit Organization,Insurance Carriers,Insurance,$25 to $100 million (USD)
17,Sr Principal Data Scientist,Employer Provided Salary:$123K - $185K,"Requisition ID: R10102740
Category: Research and Sciences
Location: Clearfield, UT, USA
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: Shift 4 (United States of America)
Relocation Assistance: Relocation assistance may be available",4.0,"Northrop Grumman
4.0","Clearfield, UT",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
18,Machine Learning Engineer,Employer Provided Salary:$105K - $155K,"Job Description Overview:
Vectrus seeks a results-driven individual with Machine Learning experience in support of web application development and native Linux software development in an Agile Software Development environment. As a Machine Learning Engineer, you will be responsible for the design, development, implementation, and validation of software that identifies and classifies systems transmitting in the RF spectrum. You will lead the research of appropriate Machine Learning methodologies, the integration with existing software suites, and the documentation and reporting of results.
You will join our team of over 30 years’ worth of leading-edge engineering experience to manage and promote the efficient use of radio frequencies through research, development, testing, and evaluation for federal, commercial, and international clients. Vectrus provides innovative, cost-effective service solutions to U.S. government customers around the world. Our solutions are designed to ensure successful outcomes for our customers, earning their trust every day. We operate in a highly dynamic global environment with constantly changing opportunities for career development and advancement.",3.6,"Vectrus
3.6","King George, VA",10000+ Employees,1945,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
19,Artificial Intelligence Architect,Employer Provided Salary:$150K - $180K,"InnovoCommerce is continuing to enhance its AI-augmented capabilities in clinical site engagement & collaboration. We are seeking an experienced professional who will join the team in designing and implementing AI models in the context of clinical sites’ workflows. The best fit for this role will have a comprehensive knowledge of the AI project lifecycle, system necessities, optimizing models, and some understanding of clinical trial operations in the life sciences industry.
Your Responsibilities:
Collaborate with the internal team to discern project needs and identify system prerequisites.
Advise on the best-suited solutions, considering factors such as optimizing accuracy and model customization capabilities.",-1,InnovoCommerce,"Irvine, CA",-1,-1,-1,-1,-1,-1
20,DATA SCIENTIST,$75K - $113K (Glassdoor est.),"US-PA-Allentown
Job Description and Qualifications
Data Scientist - Allentown, PA

At Air Products, our purpose is to bring people together to reimagine what’s possible, collaborate and innovate solutions to the world’s most significant energy and environmental sustainability challenges. Grow with us as we embark on building tomorrow together by being the safest, most diverse and most profitable industrial gas company in the world.

Reimagine What’s Possible

Air Products (NYSE: APD) is a world-leading Industrial Gases company in operation for over 75 years, has an immediate opening in our Smart Systems Computational Technology team for a creative and inquisitive engineer based at our Corporate Headquarters in Allentown, Pennsylvania.

The AP develops world-scale energy and industrial gases projects provides renewable and sustainable energy solutions as well as atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. Air Products is also the world’s leading supplier of liquefied natural gas process technology and equipment.

Smart System Team is a part of the Computational Technology organization. Air Products Product lines, Engineering, procurement, and construction activities rely on the team to improve the competitiveness of our EPC work process and implement world-class digital solutions to achieve a high-performing project execution organization. The team delivers competitive digital technology advancements for AP across EPC, Product, Operation, and R&D areas, including enterprise applications, unique engineering and R&D data solutions, and data sciences analytics solutions. The research engineers work with the entire Technology, Product Line, EPC, and operational teams, to deliver world-class solutions from data solutions to advanced AI.

The successful candidate will lead projects and development work supporting and deploying world-class unique data and AI technology solutions for AP engineering, operation and business. The candidate will be leading development projects to design, develop and test data and analytics solutions and supervise software engineers. The candidate will work as part of cross-functional research, engineering, and IT teams developing conceptual and detailed digital solutions, AI analytics, and work automation solutions. This position requires a broad engineering information management background and a deep understanding of data architecture, advanced analytics, and application development. The candidate will be required to solve various problems, which involve complex engineering work processes, complex data relations, advanced analytics, and cloud-based infrastructure. This position involves up to 10% travel to global locations.

Existing project areas where the candidate can expect to be involved include:

The candidate will be expected to learn company processes, software, and cloud infrastructure as needed for specific projects. To that end, the following skills will be beneficial:",4.1,"Air Products
4.1","Allentown, PA",10000+ Employees,1940,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
21,Data Scientist/Modeler,Employer Provided Salary:$94K - $97K,"Spiral Solutions and Technologies, Inc. is looking for a Data Scientist/Modeler to join it's team.
Qualifications:
Experience analyzing structured and unstructured data sources
Experience developing predictive data models, quantitative analyses, and visualization of targeted data sources
Knowledge of machine learning (ML), artificial intelligence (AI), or natural language processing (NLP)
Knowledge of text mining or machine learning techniques
Education and Experience:",3.3,"Spiral Solutions and Technologies, Inc.
3.3","Bellevue, NE",51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
22,AI Software Engineer,Employer Provided Salary:$74K - $166K,"Don't be a Cog in Big-Tech's Wheel
At ON1, your skills solve real-world problems in amazing new ways. We believe in the power and ownership of individual engineers, so we clear the decks so they can be productive. There are no politics, no micro-managing, and a minimal amount of process.
About ON1
ON1 is a 17-year-old, privately-owned company headquartered in Portland, OR. We've provided award-winning software to millions of photographers worldwide. We put the photographer first, and this means our customers have complete control over every aspect of their photography. Our mission is to deliver the tools photographers need to organize, edit and share their photos.",-1,"ON1, inc.","Portland, OR",-1,-1,-1,-1,-1,-1
23,Data Scientist,$103K - $149K (Glassdoor est.),"Truth Initiative® is America’s largest non-profit public health organization dedicated to making tobacco use a thing of the past. We speak, seek and spread the truth about tobacco through education, tobacco-control research and policy studies, community activism and engagement, and innovation in tobacco dependence treatment. We are a diverse and inclusive organization.
The Innovations Center at Truth Initiative is a cross-functional team that designs, builds, evaluates, and sells leading digital solutions to help people live tobacco free. In addition to delivering cessation solutions, we conduct field-leading, federally-funded research to advance the science of tobacco cessation. The Data Scientist will support our two main products: EX Program and This is Quitting.
The EX Program® is Truth Initiative’s enterprise-level digital tobacco cessation program designed for employers, health systems, and health plans. Developed in collaboration with Mayo Clinic, it builds on the highly successful consumer platform, EX, launched in 2008 that has helped nearly 1 million tobacco users on their quitting journey. The EX Program is designed for tobacco users across the motivational continuum. It supports users through multiple, integrated modalities which include a website with an online social network, dynamically tailored text messaging fully integrated with the website, email, synchronous live chat digital coaching, and pharmacotherapy decision support and delivery. We provide value to our clients by helping their employees/members live healthier lives and demonstrating that value through a variety of reporting mechanisms.",4.6,"Truth Initiative
4.6","Washington, DC",51 to 200 Employees,1999,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD)
24,Information Systems Manager - Data,Employer Provided Salary:$120K - $130K,"Information Systems Manager with Data focus needed to fill a position for a dynamic insurance organization headquartered in downtown Omaha, NE. Apply today to take advantage of this exciting opportunity!

WHAT IS GREAT ABOUT THIS OPPORTUNITY

This Information Systems Manager role is a Direct Hire position.
Hybrid work schedule working 50% remotely and 50% in the office located in Omaha, NE.
SALARY: $120000 - $130000 per year with flexibility based on skills and experience
Use your skills to help the group transition to the cloud
Financially strong and stable company with years of success
DO YOU ALIGN WITH THESE KEY QUALIFICATIONS



WHAT WILL SUCCESS LOOK LIKE

In this IS Manager role you will manage, direct, and make daily decisions on various data and software systems developed and used by the primary group operations. You will be responsible for the supervision, growth and development of various levels of employees within the Data Warehouse department including developers, BA/QA team members, and front-line managers.

WHAT WILL YOU DO

WHAT WILL YOU RECEIVE



& Much more!

DO YOU WANT TO KNOW MORE

If you have a background that lines up well with the IS Manager description and are interested in learning more about this opportunity, apply below NOW!

Studies have shown that people are less likely to apply for jobs unless they meet every qualification. At The Reserves Network we strive to provide the best experience and opportunities for everyone, so if you are excited about this role but your experience doesn’t align perfectly with every qualification listed, we still encourage you to apply. You may be the right candidate for this or other available roles we have.


#TECH1",4.1,"The Reserves Network Inc
4.1","Omaha, NE",51 to 200 Employees,-1,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD)
25,Principal Statistical Programmer_CDISC (FTE or Contract)/Remote,-1,"Position: Principal Statistical Programmer Analyst (Fulltime or Contract)
Employment type: FTE or 12 Month Contract - Extendable
Remote in EU/UK/US
About ClinChoice
ClinChoice is a global CRO dedicated to offering high-quality one-stop service to biopharmaceutical, medical device, and consumer products clients. Some of these services include clinical operations, project management, biostatistics, data management, regulatory affairs, medical affairs, and pharmacovigilance. ClinChoice has established major delivery centers across US, Canada, China, Europe, India, Japan, and the Philippines. It has over 3,000 employees globally, with a strong and talented team, and a growing clinical operations presence in seven countries across Asia, North America, and Europe.",4.0,"ClinChoice
4.0",Remote,1001 to 5000 Employees,1995,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,$25 to $100 million (USD)
26,Data Scientist,Employer Provided Salary:$130K - $200K,"Multi-INT Integrator
Location: CHANTILLY, VA, United States
Travel: Yes, Up to 40% of the Time
Minimum Clearance Required: TS/SCI
Clearance Level Must Be Able to Obtain: TS/SCI with Poly
Potential for Remote Work: No Remote
Job Description
InPursuit is looking for an experienced Data Scientist to join a team of Intelligence Integrators and help solve mission-focused operational problems. Stationed at customer locations area, the Intelligence Integration team provides support for local operational needs while also helping integrate and advocate for Intel Community and DoD tools, services, and data. This individual will support real-time data collection, analysis, and data fusion to identify and convey intelligence meaning from multiple intelligence sources. In collaboration with government staff, this individual will support the design, development, deployment, and maintenance of sophisticated analytic models as required to answer key intelligence questions. The individual will use machine learning, deep learning, and artificial intelligence algorithms and analytic discovery techniques to process and analyze large volumes of data to infer, predict, and alert on target activity of importance to internal and external client customers. The individual will also ensure continuous, smooth function of data processing and automated functions.",-1,InPursuit LLC,"McLean, VA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
27,Technical Lead - AI/Machine Learning Engineer,Employer Provided Salary:$185K - $215K,"As part of the R&D Artificial Intelligence/Machine Learning (AI/ML) Algorithms team, the Technical Lead, AI/ML Engineer, will research and develop Artificial Intelligence and Machine Learning systems for use in clinical settings. It is a cutting-edge research and development opportunity with a key focus on analyzing data to discover the relationships among various measurements and medically relevant conditions and developing computational models for disease diagnosis, detection, and prediction of critical events.
Responsibilities will include working with data such as image/video, speech, electronic medical records as well as continuous streams from invasive and non-invasive sensors. The AI/ML Engineering Lead will also closely work with our software, hardware and systems teams to ensure an efficient deployment in Masimo products.
Duties & Responsibilities",3.3,"Masimo
3.3","Irvine, CA",5001 to 10000 Employees,1989,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD)
28,Director of Data Science,Employer Provided Salary:$180K - $240K,"Overview: Darwill is a nationally recognized print and marketing communications firm based in the west suburbs of Chicago. As a premier provider of complex marketing products, including direct mail, employee communications and marketing collateral, we influence excellent results for CMO’s, Directors of Marketing and Print Production Professionals by providing ideas, workflow solutions, cutting edge production technologies and a seamless execution process. Our diverse product offering includes data acquisition, email appends, integrated marketing services, production workflows, custom print production, direct mail solutions, fulfillment and complete lettershop, bindery and mailing services.
Location: Oakbrook, IL (Hyrbid)
Reports to: CEO
Darwill is looking for an experienced Director of Data Science with a proven track record of delivering value to help us develop our growing Data Strategy and Analytics practice. Managing 7 direct reports, the Director of Data Science is responsible for leading a team to build enterprise-scale AI and data solutions that are advancing the fields of AI and Direct Marketing.",4.2,"Darwill, Inc.
4.2","Oakbrook Terrace, IL",201 to 500 Employees,1951,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
29,Data Scientist,Employer Provided Salary:$130K - $160K,"Data Scientist
EpochGeo is looking for a mid level Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in data rich projects in the national security space. All employees will start in the Washington D.C office but upon request and with customer approval may be allowed to work from Reston VA, Charlottesville VA, or College Park MD.
Big data problems can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record developing open-source innovative technology and actionable analytics to inform customers’ data driven decisions.
Are you a data scientist, AI/ML practitioner, mathematician, or similar, who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and then work collaboratively with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.",5.0,"EpochGeo
5.0","Washington, DC",1 to 50 Employees,2020,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
30,Senior Machine Learning Engineer - Pioneering the Future of FinTech,Employer Provided Salary:$300K - $500K,"Senior Artificial Intelligence Engineer - Pioneering the Future of FinTech
Are you passionate about the financial industry and the stock market? Do you want to be part of a small yet established team, where your contributions can have a significant impact?
We're a U.S.-based tech company pushing the boundaries of the tech industry. Our goal? To develop the most advanced financial superintelligence for the marketplace that can assimilate the entire world's recorded financial data and predict market trends. Our vision is ambitious, and we need a seasoned AI professional to help make it a reality.
Responsibilities:
Collaborate with a diverse team of software engineers, data scientists, and machine learning (ML) experts to create cutting-edge AI models.",3.7,"Softdev Integrations
3.7","Palo Alto, CA",1 to 50 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
